.\Archaea, ,.\Archaea\Candidatus Nanohaloarchaeota, ,.\Archaea\Candidatus Nanohaloarchaeota\Nanohaloarchaea, ,,,,,,,
 , ,  , ,Cichliformes,11,,,,,,,
 , ,  , ,Ciconiiformes,2,,,,,,,
 , ,  , ,Clostridiales,81,,,,,,,
 , ,  , ,Clupeiformes,3,,,,,,,
 , ,  , ,Coccolithales,5,,,,,,,
 , ,  , ,Coleoptera,39,,,,,,,
 , ,  , ,Columbiformes,227,,,,,,,
 , ,  , ,Commelinales,4,,,,,,,
 , ,  , ,Coraciiformes,3,,,,,,,
 , ,  , ,Cornales,3,,,,,,,
 , ,  , ,Corynebacteriales,1288,,,,,,,
 , ,  , ,Crocodylia,3,,,,,,,
 , ,  , ,Cucurbitales,147,,,,,,,
 , ,  , ,Cycadales,1,,,,,,,
 , ,  , ,Cydippida,1,,,,,,,
 , ,  , ,Cypriniformes,33,,,,,,,
 , ,  , ,Cystofilobasidiales,3,,,,,,,
 , ,  , ,Decapoda,212,,,,,,,
 , ,  , ,Dermaptera,5,,,,,,,
 , ,  , ,Desulfurococcales,6,,,,,,,
 , ,  , ,Diaporthales,49,,,,,,,
 , ,  , ,Didelphimorphia,4,,,,,,,
 , ,  , ,Dilleniales,1,,,,,,,
 , ,  , ,Dioscoreales,72,,,,,,,
 , ,  , ,Diplostraca,11,,,,,,,
 , ,  , ,Diprotodontia,11,,,,,,,
 , ,  , ,Dipsacales,15,,,,,,,
 , ,  , ,Diptera,462,,,,,,,
 , ,  , ,Diversisporales,5,,,,,,,
 , ,  , ,Ectocarpales,8,,,,,,,
 , ,  , ,Enterobacterales,1690,,,,,,,
 , ,  , ,Enterogona,1,,,,,,,
 , ,  , ,Entomoplasmatales,9,,,,,,,
 , ,  , ,Ephippiformes,7,,,,,,,
 , ,  , ,Ericales,32,,,,,,,
 , ,  , ,Erysipelotrichales,2,,,,,,,
 , ,  , ,Erysiphales,21,,,,,,,
 , ,  , ,Esociformes,5,,,,,,,
 , ,  , ,Eucoccidiorida,7,,,,,,,
 , ,  , ,Eurotiales,34,,,,,,,
 , ,  , ,Fabales,390,,,,,,,
 , ,  , ,Fagales,2,,,,,,,
 , ,  , ,Falconiformes,56,,,,,,,
 , ,  , ,Flavobacteriales,92,,,,,,,
 , ,  , ,Forcipulatida,1,,,,,,,
 , ,  , ,Fragilariales,1,,,,,,,
 , ,  , ,Fucales,7,,,,,,,
 , ,  , ,Fusobacteriales,3,,,,,,,
 , ,  , ,Gadiformes,35,,,,,,,
 , ,  , ,Galliformes,12352,,,,,,,
 , ,  , ,Gentianales,24,,,,,,,
 , ,  , ,Geraniales,5,,,,,,,
 , ,  , ,Glomerales,3,,,,,,,
 , ,  , ,Glomerellales,12,,,,,,,
 , ,  , ,Gobiiformes,1,,,,,,,
 , ,  , ,Gonorynchiformes,1,,,,,,,
 , ,  , ,Gruiformes,2,,,,,,,
 , ,  , ,Gymnophiona,2,,,,,,,
 , ,  , ,Halobacteriales,23,,,,,,,
 , ,  , ,Haloferacales,21,,,,,,,
 , ,  , ,Haplotaxida,3,,,,,,,
 , ,  , ,Helicobasidiales,12,,,,,,,
 , ,  , ,Helotiales,121,,,,,,,
 , ,  , ,Hemiptera,105,,,,,,,
 , ,  , ,Holocentriformes,1,,,,,,,
 , ,  , ,Hymenoptera,278,,,,,,,
 , ,  , ,Hypocreales,95,,,,,,,
 , ,  , ,Hyracoidea,1,,,,,,,
 , ,  , ,Isochrysidales,26,,,,,,,
 , ,  , ,Isopoda,30,,,,,,,
 , ,  , ,Ixodida,71,,,,,,,
 , ,  , ,Kinetoplastida,37,,,,,,,
 , ,  , ,Labriformes,10,,,,,,,
 , ,  , ,Lactobacillales,897,,,,,,,
 , ,  , ,Lagomorpha,37,,,,,,,
 , ,  , ,Lamiales,93,,,,,,,
 , ,  , ,Laminariales,2,,,,,,,
 , ,  , ,Laurales,2,,,,,,,
 , ,  , ,Lepidoptera,350,,,,,,,
 , ,  , ,Liliales,26,,,,,,,
 , ,  , ,Littorinimorpha,4,,,,,,,
 , ,  , ,Lobata,4,,,,,,,
 , ,  , ,Longamoebia,24,,,,,,,
 , ,  , ,Lophiiformes,4,,,,,,,
 , ,  , ,Lutjaniformes,4,,,,,,,
 , ,  , ,Magnaporthales,10,,,,,,,
 , ,  , ,Magnoliales,1,,,,,,,
 , ,  , ,Malpighiales,212,,,,,,,
 , ,  , ,Malvales,458,,,,,,,
 , ,  , ,Mamiellales,118,,,,,,,
 , ,  , ,Meliolales,1,,,,,,,
 , ,  , ,Mermithida,3,,,,,,,
 , ,  , ,Mesostigmata,8,,,,,,,
 , ,  , ,Methanobacteriales,4,,,,,,,
 , ,  , ,Methanosarcinales,1,,,,,,,
 , ,  , ,Microascales,12,,,,,,,
 , ,  , ,Micrococcales,206,,,,,,,
 , ,  , ,Micromonosporales,2,,,,,,,
 , ,  , ,Monotremata,1,,,,,,,
 , ,  , ,Mucorales,1,,,,,,,
 , ,  , ,Mugiliformes,4,,,,,,,
 , ,  , ,Mycoplasmatales,3,,,,,,,
 , ,  , ,Myliobatiformes,2,,,,,,,
 , ,  , ,Myrtales,12,,,,,,,
 , ,  , ,Mytiloida,1,,,,,,,
 , ,  , ,Myxiniformes,3,,,,,,,
 , ,  , ,Myxococcales,2,,,,,,,
 , ,  , ,Natrialbales,2,,,,,,,
 , ,  , ,Neisseriales,2,,,,,,,
 , ,  , ,Neogastropoda,3,,,,,,,
 , ,  , ,Neuroptera,3,,,,,,,
 , ,  , ,Nitrosomonadales,1,,,,,,,
 , ,  , ,Nitrososphaerales,1,,,,,,,
 , ,  , ,Nostocales,5,,,,,,,
 , ,  , ,Oceanospirillales,14,,,,,,,
 , ,  , ,Octopoda,52,,,,,,,
 , ,  , ,Odonata,119,,,,,,,
 , ,  , ,Ophiostomatales,12,,,,,,,
 , ,  , ,Opiliones,1,,,,,,,
 , ,  , ,Orthoptera,30,,,,,,,
 , ,  , ,Oscillatoriales,5,,,,,,,
 , ,  , ,Osmeriformes,2,,,,,,,
 , ,  , ,Oxalidales,5,,,,,,,
 , ,  , ,Passeriformes,107,,,,,,,
 , ,  , ,Pasteurellales,24,,,,,,,
 , ,  , ,Pectinoida,2,,,,,,,
 , ,  , ,Pedunculata,1,,,,,,,
 , ,  , ,Pelagibacterales,4,,,,,,,
 , ,  , ,Pelagomonadales,1,,,,,,,
 , ,  , ,Pelecaniformes,23,,,,,,,
 , ,  , ,Pempheriformes,3,,,,,,,
 , ,  , ,Peramelemorphia,2,,,,,,,
 , ,  , ,Perciformes,71,,,,,,,
 , ,  , ,Peridiniales,2,,,,,,,
 , ,  , ,Perissodactyla,795,,,,,,,
 , ,  , ,Peronosporales,7,,,,,,,
 , ,  , ,Petromyzontiformes,7,,,,,,,
 , ,  , ,Petrotogales,3,,,,,,,
 , ,  , ,Pezizales,4,,,,,,,
 , ,  , ,Phaeocystales,5,,,,,,,
 , ,  , ,Phoenicopteriformes,1,,,,,,,
 , ,  , ,Phyllodocida,3,,,,,,,
 , ,  , ,Pilosa,2,,,,,,,
 , ,  , ,Pinales,2,,,,,,,
 , ,  , ,Piperales,59,,,,,,,
 , ,  , ,Planctomycetales,1,,,,,,,
 , ,  , ,Platycopida,1,,,,,,,
 , ,  , ,Pleosporales,24,,,,,,,
 , ,  , ,Pleuronectiformes,33,,,,,,,
 , ,  , ,Poales,313,,,,,,,
 , ,  , ,Polypodiales,1,,,,,,,
 , ,  , ,Polyporales,2,,,,,,,
 , ,  , ,Priacanthiformes,1,,,,,,,
 , ,  , ,Primates,120773,,,,,,,
 , ,  , ,Proboscidea,32,,,,,,,
 , ,  , ,Procellariiformes,2,,,,,,,
 , ,  , ,Prolecithophora,1,,,,,,,
 , ,  , ,Propionibacteriales,271,,,,,,,
 , ,  , ,Protura,4,,,,,,,
 , ,  , ,Prymnesiales,8,,,,,,,
 , ,  , ,Pseudomonadales,537,,,,,,,
 , ,  , ,Pseudonocardiales,3,,,,,,,
 , ,  , ,Psittaciformes,16,,,,,,,
 , ,  , ,Pucciniales,11,,,,,,,
 , ,  , ,Puniceicoccales,1,,,,,,,
 , ,  , ,Pyramimonadales,1,,,,,,,
 , ,  , ,Pythiales,1,,,,,,,
 , ,  , ,Ranunculales,36,,,,,,,
 , ,  , ,Rhabditida,25,,,,,,,
 , ,  , ,Rhizobiales,112,,,,,,,
 , ,  , ,Rhizosoleniales,1,,,,,,,
 , ,  , ,Rhodobacterales,49,,,,,,,
 , ,  , ,Rhodospirillales,3,,,,,,,
 , ,  , ,Rickettsiales,9,,,,,,,
 , ,  , ,Rodentia,730,,,,,,,
 , ,  , ,Rosales,141,,,,,,,
 , ,  , ,Russulales,23,,,,,,,
 , ,  , ,Saccharomycetales,35,,,,,,,
 , ,  , ,Salmoniformes,30,,,,,,,
 , ,  , ,Sapindales,47,,,,,,,
 , ,  , ,Saxifragales,12,,,,,,,
 , ,  , ,Scandentia,11,,,,,,,
 , ,  , ,Scleractinia,2,,,,,,,
 , ,  , ,Scolopendromorpha,1,,,,,,,
 , ,  , ,Scombriformes,6,,,,,,,
 , ,  , ,Scorpiones,1,,,,,,,
 , ,  , ,Scutigeromorpha,13,,,,,,,
 , ,  , ,Selenomonadales,1,,,,,,,
 , ,  , ,Siluriformes,12,,,,,,,
 , ,  , ,Siphonaptera,6,,,,,,,
 , ,  , ,Siphonostomatoida,3,,,,,,,
 , ,  , ,Sirenia,4,,,,,,,
 , ,  , ,Solanales,996,,,,,,,
 , ,  , ,Spariformes,13,,,,,,,
 , ,  , ,Sphenisciformes,23,,,,,,,
 , ,  , ,Sphingomonadales,62,,,,,,,
 , ,  , ,Spirochaetales,1,,,,,,,
 , ,  , ,Squamata,94,,,,,,,
 , ,  , ,Streptomycetales,122,,,,,,,
 , ,  , ,Streptosporangiales,1,,,,,,,
 , ,  , ,Strigiformes,4,,,,,,,
 , ,  , ,Struthioniformes,59,,,,,,,
 , ,  , ,Stylommatophora,3,,,,,,,
 , ,  , ,Suessiales,2,,,,,,,
 , ,  , ,Sulfolobales,64,,,,,,,
 , ,  , ,Synbranchiformes,1,,,,,,,
 , ,  , ,Synechococcales,304,,,,,,,
 , ,  , ,Syngnathiformes,9,,,,,,,
 , ,  , ,Temnopleuroida,1,,,,,,,
 , ,  , ,Testudines,50,,,,,,,
 , ,  , ,Tetraodontiformes,12,,,,,,,
 , ,  , ,Thalassionemales,1,,,,,,,
 , ,  , ,Thalassiosirales,2,,,,,,,
 , ,  , ,Thelephorales,3,,,,,,,
 , ,  , ,Thermales,18,,,,,,,
 , ,  , ,Thermoanaerobacterales,1,,,,,,,
 , ,  , ,Thermococcales,2,,,,,,,
 , ,  , ,Thermoproteales,7,,,,,,,
 , ,  , ,Thysanoptera,4,,,,,,,
 , ,  , ,Tinamiformes,1,,,,,,,
 , ,  , ,Trichomonadida,8,,,,,,,
 , ,  , ,Trichosphaeriales,3,,,,,,,
 , ,  , ,Tricladida,2,,,,,,,
 , ,  , ,Unionoida,24,,,,,,,
 , ,  , ,Uranoscopiformes,4,,,,,,,
 , ,  , ,Ustilaginales,7,,,,,,,
 , ,  , ,Veneroida,76,,,,,,,
 , ,  , ,Vibrionales,535,,,,,,,
 , ,  , ,Vitales,84,,,,,,,
 , ,  , ,Wallemiales,2,,,,,,,
 , ,  , ,Xanthomonadales,70,,,,,,,
 , ,  , ,Xylariales,41,,,,,,,
 , ,  , ,Zingiberales,45,,,,,,,
 , ,  , ,,179135,,,,,,,
 , ,  , ,,,,,,,,,
 , ,  , ,,,,,,,,,
 , ,  , ,,,,,,,,,
 , ,  , ,,,,,,,,,
 , ,  , ,,,,,,,,,
 , ,  , ,,,,,,,,,
 , ,  , ,,,,,,,,,
 , ,  , ,,,,,,,,,
 , ,  , ,,,,,,,,,
 , ,  , ,,,,,,,,,
 , ,  , ,,,,,,,,,
 , ,  , ,,,,,,,,,
 , ,  , ,,,,,,,,,
 , ,  , ,,,,,,,,,
 , ,  , ,,,,,,,,,
 , ,  , ,,,,,,,,,
 , ,  , ,,,,,,,,,
 , ,  , ,,,,,,,,,
 , ,  , ,,,,,,,,,
 , ,  , ,,,,,,,,,
 , ,  , ,,,,,,,,,
 , ,  , ,,,,,,,,,
 , ,  , ,,,,,,,,,
 , ,  , ,,,,,,,,,
 , ,  , ,,,,,,,,,
 , ,  , ,,,,,,,,,
 , ,  , ,,,,,,,,,
 , ,  , ,,,,,,,,,
